N1,N2,N10,N100
68,1.00803,0.742633,0.768539,0.946791
69,0.212272,1.21366,1.07883,0.964394
70,3.90048,1.09888,0.812893,1.01692
71,0.123281,1.55049,0.752365,0.916252
72,2.15722,0.614674,0.921639,0.932487
73,0.346506,0.358958,1.96092,1.01155
74,1.62425,0.773842,1.40826,1.08433
75,0.251366,0.453466,1.15284,0.935438
76,0.0974473,1.29593,0.943158,0.874571
77,0.842243,0.37815,0.964795,1.00804
78,0.48544,1.55256,1.03635,0.97257
79,1.2393,1.24151,1.70422,0.905598
80,2.2476,1.92396,1.29149,0.909838
81,0.16242,0.747162,1.27007,0.955552
82,1.42036,3.16167,0.95883,1.20294
83,0.0332806,1.62781,0.620621,1.02728
84,0.704834,0.950677,1.32131,0.882057
85,0.396332,0.712544,0.973001,0.972634
86,0.257071,1.52624,1.28759,0.917637
87,0.881209,0.862887,1.0945,0.976885
88,0.697973,0.488834,1.49515,1.01149
89,2.51159,0.415452,1.4838,1.09142
90,0.426013,2.79511,1.3048,0.994716
91,0.150074,0.587906,1.15494,0.94741
92,1.21063,0.344921,1.58751,1.01588
93,0.775339,0.43853,0.745542,1.09954
94,1.22055,0.123772,1.13181,0.913687
95,0.0909565,1.73276,0.998422,0.915699
96,0.788423,1.08288,0.990774,0.954678
97,5.42871,0.541047,1.05492,1.0903
98,0.862705,0.720072,1.06986,1.0236
99,0.937784,0.129438,1.08837,0.779316
100,0.163158,1.58026,1.31878,0.949719
101,0.545563,0.943106,1.01092,0.945989
102,0.346624,1.1458,1.2596,1.22876
103,0.290942,0.238896,1.46154,1.11086
104,3.98715,0.68452,1.39541,0.82583
105,0.400572,0.26171,0.657501,0.990013
106,1.66787,1.03951,1.07278,0.936636
107,0.770048,0.630658,0.533237,0.863438
108,0.706811,1.94506,0.92722,1.0285
109,0.794927,0.192363,0.858215,0.909676
110,0.161079,1.92281,1.4378,1.10202
111,1.54079,0.706362,1.32845,1.13839
112,1.09932,0.127584,1.00707,0.99133
113,1.0889,0.238427,1.42939,1.09988
114,0.521729,0.0275179,1.3326,0.994786
115,0.412558,0.800366,1.41562,0.962772
116,2.81233,0.919613,1.00552,0.862502
117,0.372382,1.25998,0.863106,1.047
118,0.110554,0.89898,1.17807,0.902443
119,1.53111,1.37771,0.987881,1.12541
120,0.598097,0.5899,0.855973,1.0417
121,1.76792,1.08736,1.08854,0.844521
122,0.23322,0.939779,1.10474,0.976302
123,0.222579,0.559649,1.35905,1.09926
124,0.245873,2.57049,1.00714,1.04579
125,0.89867,0.856605,0.613823,0.888725
126,1.17393,0.116526,1.14932,1.19493
127,0.240316,0.947541,0.527921,0.857541
128,0.335145,0.799504,1.00249,0.990924
129,0.274234,0.747645,1.08613,0.812443
130,0.0599994,0.613383,1.39268,0.841465
131,1.47921,0.427767,0.691366,0.973142
132,0.206019,1.24128,0.976009,0.823011
133,2.44029,2.2931,0.595549,1.05582
134,0.224565,0.902733,1.46374,0.943496
135,2.0461,3.47423,0.951847,1.15324
136,2.16483,0.134926,0.863585,0.805418
137,0.0895119,2.0232,1.19714,1.21132
138,4.42985,1.02955,0.576836,1.02746
139,0.429288,0.7613,0.437996,0.920826
140,1.38792,0.438686,0.654838,1.24238
141,0.421321,0.596222,0.844378,0.962852
142,1.11535,1.18762,0.496241,1.06337
143,1.26775,0.97998,0.800782,0.954917
144,0.0810602,1.52557,0.937876,1.26285
145,0.133383,0.407741,0.910232,0.870792
146,0.709721,0.780522,1.01948,0.946663
147,0.582888,0.0722345,0.658397,1.06626
148,1.44163,1.10965,1.46552,1.12441
149,0.960782,1.51279,0.996233,1.01823
150,1.75397,0.599919,1.73557,0.955481
151,0.136127,1.19213,1.46695,1.18068
152,0.58649,1.50151,1.26428,1.01653
153,0.248071,2.07781,0.973887,0.961979
154,0.706431,1.1374,0.741738,0.938934
155,1.33865,1.08605,0.683706,1.01822
156,0.374522,0.738138,1.23571,0.961488
157,1.67627,0.139064,0.649306,0.995776
158,0.738126,2.20278,0.952771,1.0012
159,0.856199,2.01781,1.18978,0.884513
160,0.111735,1.55178,1.35207,0.969155
161,6.41323,0.356559,0.83174,1.10432
162,1.06478,2.72484,0.669283,1.02521
163,2.84308,0.490982,0.944421,1.03228
164,1.69616,0.467731,1.08202,0.872093
165,3.57182,0.74773,0.949066,1.11626
166,0.04398,0.440771,1.37245,0.90975
167,1.98135,0.12497,0.683486,0.997315
168,0.86904,1.68294,2.08721,0.819106
169,0.199188,1.79297,0.843398,1.25377
170,2.77184,0.766854,0.590457,1.21769
171,3.14753,0.244724,1.36701,0.870547
172,0.0743142,1.00541,0.614671,0.852488
173,1.93647,1.08918,0.787084,1.04472
174,1.22167,1.05702,1.01319,1.0381
175,1.65633,1.58532,0.738739,0.92476
176,0.688695,0.476823,1.04672,0.796576
177,0.221629,0.398348,0.593091,0.975914
178,2.65358,0.498111,0.863683,1.03354
179,0.300193,0.495542,0.771569,1.02927
180,2.40462,0.985059,0.647761,0.847218
181,2.11426,0.598306,1.82079,0.999503
182,1.03877,1.08379,0.811,0.916702
183,1.51921,0.853199,0.816413,0.926004
184,1.13584,0.833014,0.836259,1.24791
185,1.51772,2.95356,0.727779,0.852825
186,1.6243,0.61427,0.802675,1.13078
187,0.15185,0.146612,1.30345,0.964477
188,0.691639,0.202214,0.837418,1.00486
189,0.00296426,1.03498,0.785759,0.9847
190,0.572199,2.5037,0.761341,0.994725
191,0.179646,0.298624,0.864913,0.939907
192,0.868489,1.06794,1.08532,1.10106
193,0.140791,0.352771,0.83571,1.17294
194,1.08097,0.869041,1.0988,0.943863
195,1.48711,0.40432,0.69089,1.06628
196,0.627129,2.24023,0.674744,1.09436
197,0.0610261,0.763334,1.24559,0.894975
198,0.204069,0.888937,0.787828,0.912988
199,0.188955,0.37346,0.997957,0.791096
200,0.540363,0.227831,1.52678,0.923172
201,0.296487,0.961437,0.714088,1.12274
202,1.5236,1.29747,1.05993,1.05958
203,1.36997,1.02745,1.41528,0.988123
204,5.03297,1.52268,0.85247,0.836802
205,0.945766,1.14298,1.08986,0.920604
206,0.213889,0.295261,0.730553,1.0665
207,0.0201648,0.732958,0.781615,0.969042
208,0.542199,0.440105,0.863736,1.11074
209,1.72927,0.0277326,0.757992,0.997309
210,0.960081,1.62577,0.932929,1.00995
211,1.97345,1.18936,1.59222,1.12177
212,1.89885,0.930351,0.443943,0.831755
213,0.0132529,0.317973,1.58651,0.846687
214,1.97316,2.11452,1.18967,0.902979
215,0.990814,0.350112,0.744249,0.867118
216,0.930373,1.21517,1.29271,1.06467
217,1.27793,0.154717,0.639644,1.10768
218,3.25717,1.09205,1.13933,0.917642
219,0.880677,1.4771,0.642912,1.15329
220,2.15895,0.496674,0.683238,1.16223
221,1.7706,1.14807,1.03954,1.01542
222,0.868732,0.881845,0.450494,0.933901
223,0.818186,0.694327,1.32502,1.13855
224,0.284955,1.64962,1.17706,0.976154
225,0.273246,0.348075,0.423975,0.894295
226,1.00587,1.59116,1.39988,0.995819
227,0.749004,0.587931,1.23235,0.995822
228,2.94265,0.9782,0.414174,1.10571
229,0.269032,0.510804,1.20797,0.881888
230,0.939905,2.75271,1.42272,0.782481
231,2.00986,0.969079,0.880696,0.987702
232,1.23013,1.35775,0.544834,0.774818
233,0.476175,0.582336,0.559732,1.0516
234,0.214979,2.73727,1.23776,0.929295
235,1.60559,2.78666,1.45338,0.901278
236,0.548863,0.733799,0.713782,0.974047
237,0.454601,0.174652,0.342368,0.848308
238,0.848644,0.792771,1.36667,1.11219
239,5.29261,0.450219,0.759462,0.830325
240,1.49393,2.02891,1.61282,1.18491
241,0.667111,1.40508,0.66998,0.952321
242,1.36068,0.247077,0.875945,0.965148
243,0.00813441,0.724607,1.96269,1.09299
244,0.877279,1.91946,0.854269,1.04128
245,2.46555,1.73692,1.83761,1.15388
246,0.147276,2.48214,2.00138,0.823102
247,1.15485,1.08244,1.10228,1.09495
248,1.54936,0.489545,1.20832,1.10024
249,1.98746,0.187522,0.727389,0.917524
250,1.28853,1.62037,1.79143,0.967417
251,2.75163,1.54445,1.02713,0.923343
252,1.88832,0.49601,0.806027,0.997533
253,0.802976,0.32054,1.05044,1.12912
254,1.11053,3.69859,1.15083,0.889566
255,0.178195,2.65756,1.36873,0.827635
256,1.73279,0.717401,1.12438,0.891935
257,0.710866,1.14144,0.84825,0.892595
258,1.26079,1.50802,0.960024,1.07095
259,1.4185,1.80211,0.360736,0.921476
260,1.05457,1.03462,0.687278,0.917791
261,1.97806,0.763314,0.98575,1.08431
262,0.247618,0.451686,0.516803,1.02515
263,1.01664,0.837889,1.09605,1.21849
264,0.101774,0.276388,0.631429,0.963403
265,0.849901,1.34352,0.644385,0.929213
266,1.42066,1.79208,0.813122,0.837731
267,1.78759,1.56155,1.01445,0.937514
268,0.168151,1.88626,0.546303,1.07334
269,1.22021,0.221196,1.15437,1.0331
270,0.0355122,0.208843,0.986649,0.907228
271,0.321915,1.05563,0.760108,1.07587
272,0.346787,0.815458,0.865281,0.935618
273,0.507751,1.10724,0.65707,1.03142
274,0.57868,0.187148,0.732182,0.99539
275,1.42653,1.75737,1.05697,0.984711
276,0.321584,1.19709,1.43142,1.03372
277,2.44475,0.152756,0.867392,0.908083
278,0.0383697,1.41211,1.08782,1.10541
279,0.604374,0.642804,0.940327,1.0238
280,0.0353852,0.835244,0.732619,0.954748
281,0.457495,0.291365,0.802404,0.96511
282,0.128529,0.4397,0.958711,1.04103
283,0.622639,0.245276,1.04242,1.20817
284,0.986757,1.51423,1.2315,1.05543
285,0.296312,0.378057,1.23167,1.09219
286,0.107034,2.15807,0.960506,0.94689
287,0.160372,0.914683,0.743434,0.961304
288,2.64636,1.9028,0.87352,1.05782
289,2.87764,1.33425,1.26815,1.09802
290,0.0298779,4.74249,0.517463,0.974452
291,0.887137,1.98194,0.659902,1.09906
292,2.15566,0.225512,0.970326,1.02101
293,0.802684,1.07455,0.866137,0.867873
294,1.87941,1.97155,0.959119,0.880974
295,1.46308,0.156254,0.807753,0.91363
296,1.22879,0.832579,1.01336,0.955845
297,0.676281,2.03187,1.30165,1.23785
298,1.14516,0.0674513,0.83846,1.02275
299,0.592238,0.177593,0.98088,0.936484
300,1.52388,1.35577,1.21893,0.947185
301,1.10083,2.43504,0.914566,0.961776
302,1.37398,0.585971,0.618879,1.1003
303,1.23587,0.285343,0.985884,0.935546
304,1.91999,2.80585,0.579849,0.984596
305,0.745047,0.484745,1.32146,0.925357
306,0.117615,1.25482,1.21283,0.961061
307,0.163443,0.332677,0.780657,0.9613
308,0.771389,0.211461,0.358414,0.891136
309,3.88388,0.459347,1.02994,0.93948
310,1.45868,1.31693,0.807143,0.984183
311,0.262758,0.852791,1.1199,0.949228
312,1.65637,0.528202,1.44229,1.08433
313,0.100914,0.184941,1.03823,0.996953
314,1.24521,1.17972,0.738148,0.977973
315,0.482048,0.993879,1.1357,0.98729
316,1.56234,1.46852,1.01368,1.01399
317,0.921463,1.06401,1.08848,1.13352
318,0.74746,0.542857,0.922124,0.925723
319,0.0862572,0.799289,1.11687,1.03258
320,0.434167,0.654042,0.732076,1.10378
321,3.71934,0.971488,0.734526,1.03968
322,0.176016,0.307307,0.794305,0.971314
323,0.781902,1.40081,0.96659,1.04408
324,0.429877,1.19344,0.869221,0.849645
325,0.497961,0.345507,1.13824,1.14833
326,3.88997,0.692759,1.20045,1.08097
327,0.739103,1.82434,1.53514,1.13986
328,0.0594035,0.321126,0.652385,0.926367
329,0.248371,0.417613,1.12947,1.17058
330,1.74046,2.40482,0.967072,0.915265
331,1.20988,2.28766,0.668095,1.06916
332,5.22488,1.80529,0.355476,1.12717
333,0.450027,0.943146,0.605289,0.999951
334,0.0305356,1.31673,0.826409,1.02307
335,0.0615047,0.384665,1.04786,0.821115
336,2.19952,0.787801,1.09419,1.13582
337,0.749789,2.62096,1.1087,0.912234
338,0.421372,0.731666,1.18475,0.975753
339,2.78166,1.01453,1.41296,0.893311
340,0.46491,1.97837,1.34191,1.07413
341,1.1945,2.31553,1.31657,1.01394
342,0.133449,1.7112,1.52824,1.00961
343,0.437642,0.712418,0.780998,1.00509
344,2.35097,0.17654,0.996828,0.883399
345,0.92926,1.37273,0.849931,1.05567
346,1.12242,0.82073,0.941024,1.2413
347,0.237829,0.247958,0.849256,0.832127
348,0.969067,1.31557,0.81208,0.83426
349,0.0746572,0.457062,0.98317,0.984125
350,2.24247,0.697628,1.06707,0.934884
351,0.304933,0.347135,1.02696,0.861379
352,1.7256,2.07378,1.01419,0.998231
353,0.616465,0.310303,0.782541,0.979469
354,1.34429,0.0648842,0.639161,0.956984
355,3.11658,0.341485,0.769637,1.05436
356,1.53723,1.76348,0.704142,0.984651
357,0.530042,0.577029,0.75857,0.899813
358,0.210479,0.576761,1.15753,0.92821
359,6.10156,1.05373,0.973063,0.888508
360,1.3962,0.258741,1.06481,1.00314
361,0.231904,0.557902,1.43154,1.05658
362,0.0814224,1.17119,0.592619,0.942519
363,0.00986542,0.117786,1.05713,0.979822
364,0.332619,3.25207,0.975492,0.852024
365,0.921598,0.464954,1.36054,1.06653
366,0.704519,0.630747,0.549782,0.97906
367,1.62347,0.659188,1.27681,0.93684
368,1.60468,1.35918,0.288762,1.07741
369,0.835405,0.387078,1.34244,1.09705
370,0.498254,1.19714,0.387802,1.06731
371,0.54366,0.640163,1.39513,0.96675
372,1.36805,1.5725,0.671371,1.13662
373,4.45946,0.420452,1.16643,1.00604
374,1.09997,1.58917,1.10274,1.0158
375,0.503127,0.930762,1.34283,0.917825
376,0.510886,0.509497,0.646074,1.05042
377,1.46846,0.246638,1.02113,0.920963
378,1.25406,0.922666,0.895992,0.913451
379,3.03599,0.512081,1.52544,1.05248
380,0.492342,2.2033,1.01742,1.06228
381,1.32031,1.13147,0.857194,0.962994
382,2.91035,0.619986,0.580647,0.932205
383,1.33173,0.574433,0.91696,1.00446
384,0.375539,0.755294,1.27646,0.953243
385,0.0551286,1.70235,1.15959,0.96734
386,0.0896362,0.98094,0.774734,1.00444
387,3.01583,1.21898,1.50365,1.0655
388,1.36168,0.97355,0.866675,0.996182
389,0.373266,1.90556,0.858465,1.03839
390,0.334273,0.938034,0.903844,1.07075
391,0.53698,0.541218,0.58879,1.02725
392,2.95043,0.292819,0.408017,1.15432
393,0.406466,0.926631,0.577114,1.15823
394,0.0780861,3.7422,0.742379,1.28326
395,0.432101,0.325381,0.90602,0.934705
396,0.0396506,0.675684,0.653467,1.08848
397,0.777645,0.60018,0.734597,1.25341
398,0.220566,0.501059,0.564032,1.04803
399,0.135701,1.04787,1.43694,1.06358
400,0.489839,0.514348,1.26091,1.18051
401,7.38141,3.01348,1.19368,0.952027
402,0.29481,0.173406,0.887204,0.978981
403,0.387194,1.82164,1.52739,0.977055
404,1.74608,0.926696,0.866461,0.995726
405,0.911526,0.83551,0.839506,1.00363
406,0.0887542,0.67872,1.1122,0.957592
407,0.35551,1.34961,0.660643,1.05413
408,2.16123,0.269546,0.889449,1.02951
409,0.0439258,0.152955,0.690627,1.03749
410,1.73655,0.736201,0.541905,0.834235
411,0.0902845,0.801518,1.2139,0.931953
412,0.753239,0.980858,1.29495,1.05139
413,0.699742,1.25376,1.56374,1.10181
414,0.194046,1.31216,1.08615,1.13765
415,0.0197701,0.592254,0.987562,0.979576
416,2.05387,0.751292,1.21922,1.06264
417,3.6879,1.33976,0.605909,0.982326
418,3.29012,0.783473,0.667452,0.868325
419,4.42916,1.01817,1.46627,1.20175
420,0.742315,1.41964,0.953497,1.02434
421,0.609189,0.263507,0.462399,1.00047
422,0.170464,1.06666,0.91276,1.09802
423,1.94471,1.52185,0.682396,1.05338
424,0.88822,0.478629,0.810034,0.945637
425,0.121853,0.510601,0.760945,0.942637
426,0.267538,2.86424,0.612278,0.98545
427,1.64238,1.20999,0.91494,0.977766
428,0.0554458,0.378554,1.84015,0.933722
429,0.384935,0.712967,1.04977,1.07704
430,0.913829,0.407222,0.738476,0.95877
431,0.131372,1.37496,1.2385,1.04615
432,0.394727,1.94859,0.820173,0.860039
433,3.1703,0.315436,0.675739,0.963243
434,0.411089,1.12633,0.65043,0.991701
435,1.41227,2.14612,0.845846,1.09652
436,1.95464,0.67474,1.07763,1.02065
437,0.409198,0.932567,0.872771,1.10028
438,1.55747,0.747823,0.867228,0.835558
439,0.633657,0.702659,1.07051,1.08371
440,3.21094,0.91643,0.9678,1.17949
441,0.42762,1.49367,1.12635,1.26705
442,2.01814,0.578065,0.675501,1.08287
443,0.509758,0.404901,0.792844,1.00176
444,1.24434,1.03646,0.915733,0.955711
445,2.62833,1.30785,1.52134,0.936646
446,0.293129,0.874075,1.15618,1.11544
447,0.725276,0.624543,0.516628,1.04653
448,3.34898,0.314421,0.803727,0.990656
449,0.160749,2.78611,1.42887,0.940587
450,0.512493,0.192133,0.55583,1.1751
451,4.00507,0.179484,1.49237,0.877074
452,0.285718,0.778275,1.64069,0.86046
453,0.124218,0.175914,1.01703,0.97273
454,0.44086,0.531798,1.02815,0.992864
455,0.590283,0.184313,0.792133,0.903781
456,0.547134,3.09436,0.660104,0.97319
457,0.0285795,0.336283,0.793469,1.12422
458,0.157433,2.69807,0.97294,0.890045
459,0.536145,0.575961,0.721054,0.947016
460,0.539255,1.97021,1.07078,0.978197
461,1.28469,0.820062,1.04819,0.98611
462,1.18575,1.39859,0.511792,1.07741
463,0.189658,0.164203,1.78739,1.05363
464,1.02784,0.134276,1.27565,0.985461
465,1.64405,0.348589,0.903827,1.03478
466,1.18828,2.1067,0.918638,0.795069
467,0.293919,0.330195,0.938826,1.11964
468,1.19463,0.370143,1.19083,1.1012
469,0.0792014,0.527646,0.843597,0.822748
470,1.23291,0.437436,0.813822,1.08418
471,1.59522,1.38875,0.549297,1.08444
472,0.00945858,1.6014,1.19492,1.17156
473,0.920617,0.365294,0.866673,0.789909
474,0.00802171,1.33473,1.14647,1.09299
475,0.960991,0.585561,0.717221,0.986778
476,1.68655,2.06928,0.68803,1.17625
477,0.618275,0.200065,0.77331,1.07044
478,2.30844,3.08944,1.08248,1.13932
479,0.971253,1.33659,0.941629,1.01464
480,0.435377,1.68584,0.7686,0.963177
481,1.31076,1.19225,1.08588,1.02279
482,0.955088,0.756407,1.21229,0.995551
483,4.7095,0.493771,0.561639,0.969434
484,0.0965986,1.23553,1.08116,1.14101
485,3.73544,0.73228,0.740719,1.07363
486,0.454,0.711953,0.694221,1.09864
487,3.70342,0.776966,0.752963,0.921875
488,1.50509,0.985101,1.10054,1.11377
489,4.16453,2.78174,1.36237,1.1684
490,0.333734,0.471782,1.37636,0.991474
491,0.425677,0.415794,1.35861,0.831644
492,1.65558,2.2359,0.617559,0.91585
493,1.83418,0.280864,0.678202,0.985417
494,2.99705,0.706245,0.929981,1.12532
495,0.754677,0.397649,0.779472,0.977218
496,0.256154,1.27216,0.869724,1.09842
497,0.666399,0.0935752,1.8314,1.02798
498,2.07099,1.18925,0.876455,1.12073
499,1.96495,0.718514,1.55603,0.925207
500,3.85877,0.430513,1.69989,0.804184
501,0.726075,1.3057,1.76281,1.1051
502,0.351263,0.191464,1.10339,1.02123
503,1.01241,1.96287,0.899071,1.18505
504,0.287223,2.18586,1.40468,1.00004
505,2.06118,1.90189,0.81863,1.20297
506,3.50598,0.77184,0.640157,0.845046
507,2.03495,1.7162,0.702014,0.939651
508,1.57789,0.87044,0.888526,0.831944
509,0.299275,1.52989,0.410363,0.913201
510,0.266789,0.72731,1.2888,0.999055
511,0.760717,0.683926,1.21666,1.11543
512,0.666601,2.13104,1.67027,0.924948
513,0.0179852,1.03957,0.979037,0.951246
514,0.00550923,0.453501,0.853124,0.99306
515,0.649841,0.458742,1.74561,0.834459
516,1.07004,0.650868,0.693057,1.03694
517,2.20846,1.60161,0.584383,0.975706
518,0.877945,0.92862,1.97016,1.00643
519,3.97546,1.162,0.851047,1.10713
520,0.144622,1.60388,0.854875,1.02846
521,2.56823,1.3708,0.717265,1.08848
522,0.0684283,1.12308,1.21415,1.05679
523,0.509565,0.535687,0.871666,0.973145
524,0.22193,0.580292,1.2913,0.901251
525,1.32085,1.50067,0.786322,0.760861
526,0.300007,0.421722,0.782077,1.02907
527,0.104003,0.92981,0.664008,1.06178
528,0.453725,1.81967,1.01512,1.09247
529,1.34404,0.765429,1.19035,0.850305
530,0.389926,0.193501,1.77668,0.879353
531,0.356975,0.223575,1.21101,0.943747
532,2.98035,0.267634,1.89401,1.07878
533,1.17518,1.53596,1.26706,0.949238
534,1.3875,1.84492,0.602872,1.06116
535,1.2919,2.33562,1.06503,0.971573
536,0.0481772,0.507006,0.935306,1.13312
537,0.186865,0.233149,1.8635,1.04764
538,0.143028,1.28714,0.960537,1.00655
539,3.39089,1.22244,0.947815,1.14678
540,0.597097,0.436215,1.28311,0.901645
541,0.644826,0.628429,0.838008,1.07191
542,0.849601,0.629516,1.4992,1.02014
543,1.37061,0.494054,1.69459,0.969813
544,0.554704,1.71356,0.930265,1.00536
545,1.35055,0.800948,1.19187,0.979951
546,0.280311,0.657418,1.18931,1.09994
547,0.147765,1.55614,0.509164,1.01671
548,0.688236,0.0163867,0.899147,0.983476
549,2.37893,0.16181,1.04684,0.972816
550,0.0385878,2.15295,0.916819,0.930243
551,0.300391,1.40082,1.28725,1.08729
552,0.586357,0.813874,1.23384,0.939042
553,0.788646,1.22451,0.543755,1.07383
554,0.275987,1.00941,1.06398,0.89843
555,1.68099,1.73604,0.744188,0.972454
556,2.73184,0.505965,0.83777,0.967262
557,0.123541,0.733007,0.683299,0.910107
558,1.90704,0.179034,0.969003,0.888265
559,0.523439,0.545577,0.967577,0.92626
560,0.355517,0.854816,0.666664,1.14978
561,0.245023,1.2174,0.697305,0.875724
562,0.515475,0.393323,1.7447,1.03907
563,0.25875,1.68242,0.954076,1.1844
564,2.74856,0.192041,1.05946,1.10783
565,0.285102,1.70931,1.49428,0.978734
566,0.585732,1.29454,0.886964,0.960317
567,0.0503585,1.56489,1.30977,0.996519
568,0.718946,0.828589,0.938195,1.02928
569,2.0294,1.34927,1.55909,1.05691
570,0.630599,0.606713,0.923542,1.0786
571,0.700956,0.297677,1.02643,0.967667
572,0.10216,0.217249,0.842327,1.03691
573,0.0746335,1.68544,1.26106,1.17234
574,1.19152,0.130154,1.14928,0.964932
575,0.292672,0.0324996,1.1844,1.04271
576,0.333562,0.979102,1.43077,0.942011
577,1.33702,0.537313,1.4501,0.999783
578,0.598644,1.699,0.789074,1.00938
579,0.352477,0.924595,0.711159,1.00176
580,1.57246,1.09867,0.460851,0.936103
581,0.790219,0.514528,0.85636,0.935106
582,1.51139,0.526148,1.07219,1.01693
583,1.77086,0.778183,0.792505,0.89074
584,0.272703,1.41303,0.993054,0.960525
585,0.194905,0.858384,0.841852,1.02148
586,0.952819,1.17598,0.731458,1.0527
587,0.529307,1.20978,1.18586,1.02148
588,0.268259,1.08952,0.995545,0.93054
589,0.0422551,0.217679,0.880416,0.916606
590,0.177021,0.843644,0.78705,1.05023
591,1.49577,0.701952,1.10464,0.837671
592,1.6257,1.53614,1.71652,1.14885
593,0.642561,0.347358,0.462504,0.828535
594,3.74193,1.12287,1.09769,0.932594
595,0.753498,0.92866,1.57496,0.997488
596,0.636879,0.390183,1.02048,1.00066
597,0.646622,0.545409,0.450972,1.01869
598,0.82784,0.278954,1.57958,1.12427
599,1.06212,0.562084,0.752893,0.910119
600,0.461234,0.956831,1.1305,0.947609
601,1.42862,0.271847,1.22255,0.949903
602,0.359204,1.6705,1.06242,0.90986
603,1.52608,0.516499,1.13102,0.991951
604,0.137476,1.04463,0.567047,1.0172
605,0.139405,0.466121,0.922784,1.04073
606,0.855167,0.521138,0.974899,1.17363
607,0.570553,0.271628,0.850222,0.950026
608,0.214026,3.14874,1.27544,0.88254
609,0.0102502,1.83094,0.745961,1.08665
610,0.591726,1.3678,0.84563,0.970945
611,2.18309,0.960236,0.462308,0.974617
612,0.181804,2.93029,0.598369,1.00031
613,0.400906,1.83622,1.09975,0.989351
614,0.0155497,0.188981,1.13046,1.08168
615,0.422059,1.28624,1.38606,0.934761
616,0.720578,2.56204,1.32107,1.04527
617,1.45325,1.34693,0.71984,0.883927
618,0.11662,0.472229,0.779243,0.969378
619,0.0485478,1.01968,0.64347,0.818795
620,0.0822059,1.45157,0.667889,0.900397
621,0.893881,1.10991,1.4344,0.888711
622,1.08704,1.15317,0.544076,1.15621
623,1.13777,4.69274,1.33092,1.02787
624,1.54801,0.693563,1.22622,0.997767
625,1.81884,0.848167,0.997077,0.857268
626,0.879921,1.29974,0.848641,1.00401
627,1.21895,1.23792,0.597473,1.0009
628,0.0626473,1.19679,1.34682,0.832772
629,0.101858,0.157987,0.436053,1.09243
630,3.3365,0.67986,1.74083,0.962572
631,0.5157,0.862186,1.23204,0.962425
